sectie	sch	obj	klasse	rol	rechten
FUNC	public	fn_generiek_status_overgang_check()	function	anon	-
FUNC	public	fn_generiek_status_overgang_check()	function	authenticated	EXECUTE
FUNC	public	fn_generiek_status_overgang_check()	function	service_role	EXECUTE
FUNC	public	fn_generiek_transitie(p_van text, p_naar text)	function	anon	-
FUNC	public	fn_generiek_transitie(p_van text, p_naar text)	function	authenticated	EXECUTE
FUNC	public	fn_generiek_transitie(p_van text, p_naar text)	function	service_role	EXECUTE
FUNC	public	fn_govevent_hash()	function	anon	-
FUNC	public	fn_govevent_hash()	function	authenticated	EXECUTE
FUNC	public	fn_govevent_hash()	function	service_role	EXECUTE
FUNC	public	fn_govevent_immutable()	function	anon	-
FUNC	public	fn_govevent_immutable()	function	authenticated	EXECUTE
FUNC	public	fn_govevent_immutable()	function	service_role	EXECUTE
FUNC	public	fn_log_append_only()	function	anon	-
FUNC	public	fn_log_append_only()	function	authenticated	EXECUTE
FUNC	public	fn_log_append_only()	function	service_role	EXECUTE
FUNC	public	fn_notulen_segment_audit(p_document_id uuid, p_veld text, p_oud text, p_nieuw text, p_reden text, p_rag_impact boolean)	function	anon	-
FUNC	public	fn_notulen_segment_audit(p_document_id uuid, p_veld text, p_oud text, p_nieuw text, p_reden text, p_rag_impact boolean)	function	authenticated	EXECUTE
FUNC	public	fn_notulen_segment_audit(p_document_id uuid, p_veld text, p_oud text, p_nieuw text, p_reden text, p_rag_impact boolean)	function	service_role	EXECUTE
FUNC	public	fn_notulen_segment_bevestig(p_segment_id uuid, p_chunks jsonb, p_reden text)	function	anon	-
FUNC	public	fn_notulen_segment_bevestig(p_segment_id uuid, p_chunks jsonb, p_reden text)	function	authenticated	EXECUTE
FUNC	public	fn_notulen_segment_bevestig(p_segment_id uuid, p_chunks jsonb, p_reden text)	function	service_role	EXECUTE
FUNC	public	fn_notulen_segment_check()	function	anon	-
FUNC	public	fn_notulen_segment_check()	function	authenticated	EXECUTE
FUNC	public	fn_notulen_segment_check()	function	service_role	EXECUTE
FUNC	public	fn_notulen_segment_ontbevestig(p_segment_id uuid, p_reden text)	function	anon	-
FUNC	public	fn_notulen_segment_ontbevestig(p_segment_id uuid, p_reden text)	function	authenticated	EXECUTE
FUNC	public	fn_notulen_segment_ontbevestig(p_segment_id uuid, p_reden text)	function	service_role	EXECUTE
FUNC	public	fn_notulen_segment_verwijder(p_segment_id uuid, p_reden text)	function	anon	-
FUNC	public	fn_notulen_segment_verwijder(p_segment_id uuid, p_reden text)	function	authenticated	EXECUTE
FUNC	public	fn_notulen_segment_verwijder(p_segment_id uuid, p_reden text)	function	service_role	EXECUTE
FUNC	public	fn_organisatie_profielen_touch()	function	anon	-
FUNC	public	fn_organisatie_profielen_touch()	function	authenticated	EXECUTE
FUNC	public	fn_organisatie_profielen_touch()	function	service_role	EXECUTE
FUNC	public	fn_platform_event_chain_assert_valid()	function	anon	-
FUNC	public	fn_platform_event_chain_assert_valid()	function	authenticated	-
FUNC	public	fn_platform_event_chain_assert_valid()	function	service_role	-
FUNC	public	fn_platform_event_fork_declaration_immutable()	function	anon	-
FUNC	public	fn_platform_event_fork_declaration_immutable()	function	authenticated	-
FUNC	public	fn_platform_event_fork_declaration_immutable()	function	service_role	-
FUNC	public	fn_platform_event_hash()	function	anon	-
FUNC	public	fn_platform_event_hash()	function	authenticated	-
FUNC	public	fn_platform_event_hash()	function	service_role	-
FUNC	public	fn_platform_event_immutable()	function	anon	-
FUNC	public	fn_platform_event_immutable()	function	authenticated	EXECUTE
FUNC	public	fn_platform_event_immutable()	function	service_role	EXECUTE
FUNC	public	fn_procedure_requirements_versievast()	function	anon	-
FUNC	public	fn_procedure_requirements_versievast()	function	authenticated	-
FUNC	public	fn_procedure_requirements_versievast()	function	service_role	EXECUTE
FUNC	public	fn_profiel_bevries_kolommen()	function	anon	-
FUNC	public	fn_profiel_bevries_kolommen()	function	authenticated	-
FUNC	public	fn_profiel_bevries_kolommen()	function	service_role	EXECUTE
FUNC	public	fn_publicatie_append_only()	function	anon	-
FUNC	public	fn_publicatie_append_only()	function	authenticated	-
FUNC	public	fn_publicatie_append_only()	function	service_role	EXECUTE
FUNC	public	fn_rate_limit_check(p_endpoint text, p_limiet integer, p_venster interval)	function	anon	-
FUNC	public	fn_rate_limit_check(p_endpoint text, p_limiet integer, p_venster interval)	function	authenticated	EXECUTE
FUNC	public	fn_rate_limit_check(p_endpoint text, p_limiet integer, p_venster interval)	function	service_role	EXECUTE
FUNC	public	fn_schrijf_semantische_extractie(p_fonds_id uuid, p_document_id uuid, p_model text, p_prompt_version text, p_extractor_version text, p_catalog_version text, p_status text, p_units jsonb)	function	anon	-
FUNC	public	fn_schrijf_semantische_extractie(p_fonds_id uuid, p_document_id uuid, p_model text, p_prompt_version text, p_extractor_version text, p_catalog_version text, p_status text, p_units jsonb)	function	authenticated	-
FUNC	public	fn_schrijf_semantische_extractie(p_fonds_id uuid, p_document_id uuid, p_model text, p_prompt_version text, p_extractor_version text, p_catalog_version text, p_status text, p_units jsonb)	function	service_role	EXECUTE
FUNC	public	fn_schrijf_vergelijking(p_mode text, p_model text, p_prompt_version text, p_comparator_version text, p_findings jsonb)	function	anon	-
FUNC	public	fn_schrijf_vergelijking(p_mode text, p_model text, p_prompt_version text, p_comparator_version text, p_findings jsonb)	function	authenticated	EXECUTE
FUNC	public	fn_schrijf_vergelijking(p_mode text, p_model text, p_prompt_version text, p_comparator_version text, p_findings jsonb)	function	service_role	EXECUTE
FUNC	public	fn_snapshot_immutable()	function	anon	-
FUNC	public	fn_snapshot_immutable()	function	authenticated	EXECUTE
FUNC	public	fn_snapshot_immutable()	function	service_role	EXECUTE
FUNC	public	fn_validate_bewijs_requirement_binding()	function	anon	-
FUNC	public	fn_validate_bewijs_requirement_binding()	function	authenticated	-
FUNC	public	fn_validate_bewijs_requirement_binding()	function	service_role	EXECUTE
FUNC	public	fn_validate_requirement_instance_binding_sleutel()	function	anon	-
